prev,curr,type,freq,id
Aristotle,Marcus_Aurelius,other,18,Aristotle:Marcus_Aurelius
Economy_of_the_Organisation_of_Islamic_Cooperation,United_Arab_Emirates,link,34,Economy_of_the_Organisation_of_Islamic_Cooperation:United_Arab_Emirates
"Boeing_Defense,_Space_&_Security",GQM-163_Coyote,link,73,"Boeing_Defense,_Space_&_Security:GQM-163_Coyote"
Shaped_Sonic_Boom_Demonstration,LET_L-23_Super_Blaník,link,54,Shaped_Sonic_Boom_Demonstration:LET_L-23_Super_Blaník
Tsardom_of_Russia,House_of_Romanov,link,325,Tsardom_of_Russia:House_of_Romanov
Cafu,FIFA_World_Cup,link,369,Cafu:FIFA_World_Cup
Carlos_Latuff,Omaya_Joha,link,97,Carlos_Latuff:Omaya_Joha
other,Us_Against_the_World_(Christina_Milian_song),external,56,other:Us_Against_the_World_(Christina_Milian_song)
other,Us_Against_the_World_(Christina_Milian_song),external,30,other:Us_Against_the_World_(Christina_Milian_song)
Armand_Călinescu,Gheorghe_Argeșanu,link,105,Armand_Călinescu:Gheorghe_Argeșanu
Bouli_Lanners,The_Giants_(2011_film),link,44,Bouli_Lanners:The_Giants_(2011_film)
Plantar_fasciitis,Extracorporeal_shockwave_therapy,link,529,Plantar_fasciitis:Extracorporeal_shockwave_therapy
Battle_of_Hostomel,Closed-circuit_television,link,21,Battle_of_Hostomel:Closed-circuit_television
other,Uppåkra_temple,external,52,other:Uppåkra_temple
other,Uppåkra_temple,external,62,other:Uppåkra_temple
other,List_of_foreign_satellites_launched_by_India,external,10,other:List_of_foreign_satellites_launched_by_India
other,List_of_foreign_satellites_launched_by_India,external,481,other:List_of_foreign_satellites_launched_by_India
other,List_of_foreign_satellites_launched_by_India,external,2638,other:List_of_foreign_satellites_launched_by_India
Temples_of_North_Karnataka,Tourism_in_Karnataka,other,13,Temples_of_North_Karnataka:Tourism_in_Karnataka
other,Edward_Delon_Warren,external,168,other:Edward_Delon_Warren
other,Edward_Delon_Warren,external,13,other:Edward_Delon_Warren
other,Edward_Delon_Warren,external,22,other:Edward_Delon_Warren
X-Men:_The_Last_Stand,Kavita_Rao,link,91,X-Men:_The_Last_Stand:Kavita_Rao
other,Chlorops,external,13,other:Chlorops
The_Incredible_Hulk_(1978_TV_series),Gamma_ray,link,10,The_Incredible_Hulk_(1978_TV_series):Gamma_ray
other,Christian_Berggren,external,13,other:Christian_Berggren
RAF_Cottesmore,Army_2020_Refine,link,33,RAF_Cottesmore:Army_2020_Refine
LGBT_representations_in_hip_hop_music,Byron_Hurt,link,10,LGBT_representations_in_hip_hop_music:Byron_Hurt
Rebound_(basketball),Bob_Pettit,link,60,Rebound_(basketball):Bob_Pettit
other,Sōgana,external,53,other:Sōgana
other,Sōgana,external,37,other:Sōgana
Black_Dots,Don_Zientara,link,11,Black_Dots:Don_Zientara
Surface_3,Surface_(2012_tablet),link,12,Surface_3:Surface_(2012_tablet)
Jair_Bolsonaro,Venezuelan_presidential_crisis,link,13,Jair_Bolsonaro:Venezuelan_presidential_crisis
Harold_Perrineau,Flirt_(1995_film),link,20,Harold_Perrineau:Flirt_(1995_film)
Marriageable_age,Consanguinity,link,13,Marriageable_age:Consanguinity
Education_in_Finland,Finnish_language,link,12,Education_in_Finland:Finnish_language
The_Star_of_the_Backstage,Bart's_in_Jail!,link,170,The_Star_of_the_Backstage:Bart's_in_Jail!
