"","id","date","freq"
"1",".300_Weatherby_Magnum:Caliber",2017 Nov,12
"2",".300_Weatherby_Magnum:Caliber",2017 Dec,12
"3",".300_Weatherby_Magnum:Caliber",2018 Jan,0
"4",".300_Weatherby_Magnum:Caliber",2018 Feb,0
"5",".300_Weatherby_Magnum:Caliber",2018 Mar,12
"6",".300_Weatherby_Magnum:Caliber",2018 Apr,12
"7",".300_Weatherby_Magnum:Caliber",2018 May,11
"8",".300_Weatherby_Magnum:Caliber",2018 Jun,14
"9",".300_Weatherby_Magnum:Caliber",2018 Jul,0
"10",".300_Weatherby_Magnum:Caliber",2018 Aug,19
"11",".300_Weatherby_Magnum:Caliber",2018 Sep,20
"12",".300_Weatherby_Magnum:Caliber",2018 Oct,10
"13",".300_Weatherby_Magnum:Caliber",2018 Nov,14
"14",".300_Weatherby_Magnum:Caliber",2018 Dec,12
"15",".300_Weatherby_Magnum:Caliber",2019 Jan,17
"16",".300_Weatherby_Magnum:Caliber",2019 Feb,0
"17",".300_Weatherby_Magnum:Caliber",2019 Mar,23
"18",".300_Weatherby_Magnum:Caliber",2019 Apr,0
"19",".300_Weatherby_Magnum:Caliber",2019 May,14
"20",".300_Weatherby_Magnum:Caliber",2019 Jun,10
"21",".300_Weatherby_Magnum:Caliber",2019 Jul,0
"22",".300_Weatherby_Magnum:Caliber",2019 Aug,15
"23",".300_Weatherby_Magnum:Caliber",2019 Sep,25
"24",".300_Weatherby_Magnum:Caliber",2019 Oct,0
"25",".300_Weatherby_Magnum:Caliber",2019 Nov,25
"26",".300_Weatherby_Magnum:Caliber",2019 Dec,21
"27",".300_Weatherby_Magnum:Caliber",2020 Jan,10
"28",".300_Weatherby_Magnum:Caliber",2020 Feb,10
"29",".300_Weatherby_Magnum:Caliber",2020 Mar,14
"30",".300_Weatherby_Magnum:Caliber",2020 Apr,21
"31",".300_Weatherby_Magnum:Caliber",2020 May,19
"32",".300_Weatherby_Magnum:Caliber",2020 Jun,20
"33",".300_Weatherby_Magnum:Caliber",2020 Jul,19
"34",".300_Weatherby_Magnum:Caliber",2020 Aug,13
"35",".300_Weatherby_Magnum:Caliber",2020 Sep,17
"36",".300_Weatherby_Magnum:Caliber",2020 Oct,29
"37",".300_Weatherby_Magnum:Caliber",2020 Nov,23
"38",".300_Weatherby_Magnum:Caliber",2020 Dec,12
"39",".300_Weatherby_Magnum:Caliber",2021 Jan,24
"40",".300_Weatherby_Magnum:Caliber",2021 Feb,12
"41",".300_Weatherby_Magnum:Caliber",2021 Mar,28
"42",".300_Weatherby_Magnum:Caliber",2021 Apr,16
"43",".300_Weatherby_Magnum:Caliber",2021 May,12
"44",".300_Weatherby_Magnum:Caliber",2021 Jun,18
"45",".300_Weatherby_Magnum:Caliber",2021 Jul,12
"46",".300_Weatherby_Magnum:Caliber",2021 Aug,18
"47",".300_Weatherby_Magnum:Caliber",2021 Sep,19
"48",".300_Weatherby_Magnum:Caliber",2021 Oct,12
"49",".300_Weatherby_Magnum:Caliber",2021 Nov,13
"50",".300_Weatherby_Magnum:Caliber",2021 Dec,11
"51",".300_Weatherby_Magnum:Caliber",2022 Jan,15
"52",".300_Weatherby_Magnum:Caliber",2022 Feb,16
"53",".300_Weatherby_Magnum:Caliber",2022 Mar,10
"54",".300_Weatherby_Magnum:Caliber",2022 Apr,0
"55",".300_Weatherby_Magnum:Caliber",2022 May,0
"56",".300_Weatherby_Magnum:Caliber",2022 Jun,11
"57",".300_Weatherby_Magnum:Caliber",2022 Jul,13
"58",".300_Weatherby_Magnum:Caliber",2022 Aug,13
"59",".300_Weatherby_Magnum:Caliber",2022 Sep,0
"60",".300_Weatherby_Magnum:Caliber",2022 Oct,22
"61",".300_Weatherby_Magnum:Caliber",2022 Nov,24
"62",".300_Weatherby_Magnum:Caliber",2022 Dec,10
"63","10_Gigabit_Ethernet:Computer_network",2017 Nov,25
"64","10_Gigabit_Ethernet:Computer_network",2017 Dec,19
"65","10_Gigabit_Ethernet:Computer_network",2018 Jan,25
"66","10_Gigabit_Ethernet:Computer_network",2018 Feb,29
"67","10_Gigabit_Ethernet:Computer_network",2018 Mar,24
"68","10_Gigabit_Ethernet:Computer_network",2018 Apr,17
"69","10_Gigabit_Ethernet:Computer_network",2018 May,22
"70","10_Gigabit_Ethernet:Computer_network",2018 Jun,15
"71","10_Gigabit_Ethernet:Computer_network",2018 Jul,22
"72","10_Gigabit_Ethernet:Computer_network",2018 Aug,20
"73","10_Gigabit_Ethernet:Computer_network",2018 Sep,23
"74","10_Gigabit_Ethernet:Computer_network",2018 Oct,18
"75","10_Gigabit_Ethernet:Computer_network",2018 Nov,17
"76","10_Gigabit_Ethernet:Computer_network",2018 Dec,25
"77","10_Gigabit_Ethernet:Computer_network",2019 Jan,25
"78","10_Gigabit_Ethernet:Computer_network",2019 Feb,18
"79","10_Gigabit_Ethernet:Computer_network",2019 Mar,23
"80","10_Gigabit_Ethernet:Computer_network",2019 Apr,28
"81","10_Gigabit_Ethernet:Computer_network",2019 May,40
"82","10_Gigabit_Ethernet:Computer_network",2019 Jun,20
"83","10_Gigabit_Ethernet:Computer_network",2019 Jul,24
"84","10_Gigabit_Ethernet:Computer_network",2019 Aug,24
"85","10_Gigabit_Ethernet:Computer_network",2019 Sep,16
"86","10_Gigabit_Ethernet:Computer_network",2019 Oct,26
"87","10_Gigabit_Ethernet:Computer_network",2019 Nov,20
"88","10_Gigabit_Ethernet:Computer_network",2019 Dec,15
"89","10_Gigabit_Ethernet:Computer_network",2020 Jan,18
"90","10_Gigabit_Ethernet:Computer_network",2020 Feb,19
"91","10_Gigabit_Ethernet:Computer_network",2020 Mar,27
"92","10_Gigabit_Ethernet:Computer_network",2020 Apr,22
"93","10_Gigabit_Ethernet:Computer_network",2020 May,22
"94","10_Gigabit_Ethernet:Computer_network",2020 Jun,19
"95","10_Gigabit_Ethernet:Computer_network",2020 Jul,16
"96","10_Gigabit_Ethernet:Computer_network",2020 Aug,22
"97","10_Gigabit_Ethernet:Computer_network",2020 Sep,18
"98","10_Gigabit_Ethernet:Computer_network",2020 Oct,31
"99","10_Gigabit_Ethernet:Computer_network",2020 Nov,14
"100","10_Gigabit_Ethernet:Computer_network",2020 Dec,25
"101","10_Gigabit_Ethernet:Computer_network",2021 Jan,30
"102","10_Gigabit_Ethernet:Computer_network",2021 Feb,27
"103","10_Gigabit_Ethernet:Computer_network",2021 Mar,33
"104","10_Gigabit_Ethernet:Computer_network",2021 Apr,31
"105","10_Gigabit_Ethernet:Computer_network",2021 May,24
"106","10_Gigabit_Ethernet:Computer_network",2021 Jun,23
"107","10_Gigabit_Ethernet:Computer_network",2021 Jul,20
"108","10_Gigabit_Ethernet:Computer_network",2021 Aug,12
"109","10_Gigabit_Ethernet:Computer_network",2021 Sep,20
"110","10_Gigabit_Ethernet:Computer_network",2021 Oct,33
"111","10_Gigabit_Ethernet:Computer_network",2021 Nov,21
"112","10_Gigabit_Ethernet:Computer_network",2021 Dec,27
"113","10_Gigabit_Ethernet:Computer_network",2022 Jan,23
"114","10_Gigabit_Ethernet:Computer_network",2022 Feb,15
"115","10_Gigabit_Ethernet:Computer_network",2022 Mar,22
"116","10_Gigabit_Ethernet:Computer_network",2022 Apr,23
"117","10_Gigabit_Ethernet:Computer_network",2022 May,22
"118","10_Gigabit_Ethernet:Computer_network",2022 Jun,19
"119","10_Gigabit_Ethernet:Computer_network",2022 Jul,13
"120","10_Gigabit_Ethernet:Computer_network",2022 Aug,22
"121","10_Gigabit_Ethernet:Computer_network",2022 Sep,18
"122","10_Gigabit_Ethernet:Computer_network",2022 Oct,13
"123","10_Gigabit_Ethernet:Computer_network",2022 Nov,13
"124","10_Gigabit_Ethernet:Computer_network",2022 Dec,26
"125","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2017 Nov,0
"126","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2017 Dec,0
"127","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Jan,0
"128","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Feb,0
"129","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Mar,0
"130","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Apr,0
"131","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 May,12
"132","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Jun,11
"133","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Jul,12
"134","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Aug,13
"135","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Sep,39
"136","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Oct,30
"137","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Nov,0
"138","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2018 Dec,0
"139","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Jan,0
"140","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Feb,0
"141","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Mar,0
"142","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Apr,0
"143","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 May,0
"144","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Jun,0
"145","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Jul,0
"146","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Aug,10
"147","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Sep,29
"148","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Oct,10
"149","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Nov,0
"150","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2019 Dec,0
"151","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Jan,0
"152","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Feb,0
"153","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Mar,0
"154","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Apr,0
"155","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 May,0
"156","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Jun,0
"157","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Jul,0
"158","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Aug,17
"159","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Sep,21
"160","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Oct,0
"161","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Nov,22
"162","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2020 Dec,0
"163","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Jan,0
"164","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Feb,0
"165","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Mar,0
"166","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Apr,0
"167","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 May,0
"168","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Jun,13
"169","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Jul,14
"170","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Aug,21
"171","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Sep,21
"172","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Oct,13
"173","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Nov,0
"174","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2021 Dec,0
"175","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Jan,0
"176","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Feb,0
"177","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Mar,0
"178","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Apr,10
"179","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 May,0
"180","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Jun,0
"181","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Jul,0
"182","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Aug,0
"183","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Sep,17
"184","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Oct,19
"185","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Nov,12
"186","1864_Atlantic_hurricane_season:1862_Atlantic_hurricane_season",2022 Dec,13
"187","1864_United_States_presidential_election:New_Jersey",2017 Nov,0
"188","1864_United_States_presidential_election:New_Jersey",2017 Dec,0
"189","1864_United_States_presidential_election:New_Jersey",2018 Jan,0
"190","1864_United_States_presidential_election:New_Jersey",2018 Feb,0
"191","1864_United_States_presidential_election:New_Jersey",2018 Mar,0
"192","1864_United_States_presidential_election:New_Jersey",2018 Apr,0
"193","1864_United_States_presidential_election:New_Jersey",2018 May,0
"194","1864_United_States_presidential_election:New_Jersey",2018 Jun,0
"195","1864_United_States_presidential_election:New_Jersey",2018 Jul,0
"196","1864_United_States_presidential_election:New_Jersey",2018 Aug,0
"197","1864_United_States_presidential_election:New_Jersey",2018 Sep,0
"198","1864_United_States_presidential_election:New_Jersey",2018 Oct,0
"199","1864_United_States_presidential_election:New_Jersey",2018 Nov,0
"200","1864_United_States_presidential_election:New_Jersey",2018 Dec,10
"201","1864_United_States_presidential_election:New_Jersey",2019 Jan,0
"202","1864_United_States_presidential_election:New_Jersey",2019 Feb,0
"203","1864_United_States_presidential_election:New_Jersey",2019 Mar,0
"204","1864_United_States_presidential_election:New_Jersey",2019 Apr,0
"205","1864_United_States_presidential_election:New_Jersey",2019 May,0
"206","1864_United_States_presidential_election:New_Jersey",2019 Jun,0
"207","1864_United_States_presidential_election:New_Jersey",2019 Jul,0
"208","1864_United_States_presidential_election:New_Jersey",2019 Aug,0
"209","1864_United_States_presidential_election:New_Jersey",2019 Sep,0
"210","1864_United_States_presidential_election:New_Jersey",2019 Oct,0
"211","1864_United_States_presidential_election:New_Jersey",2019 Nov,12
"212","1864_United_States_presidential_election:New_Jersey",2019 Dec,0
"213","1864_United_States_presidential_election:New_Jersey",2020 Jan,0
"214","1864_United_States_presidential_election:New_Jersey",2020 Feb,0
"215","1864_United_States_presidential_election:New_Jersey",2020 Mar,11
"216","1864_United_States_presidential_election:New_Jersey",2020 Apr,0
"217","1864_United_States_presidential_election:New_Jersey",2020 May,10
"218","1864_United_States_presidential_election:New_Jersey",2020 Jun,0
"219","1864_United_States_presidential_election:New_Jersey",2020 Jul,18
"220","1864_United_States_presidential_election:New_Jersey",2020 Aug,18
"221","1864_United_States_presidential_election:New_Jersey",2020 Sep,0
"222","1864_United_States_presidential_election:New_Jersey",2020 Oct,13
"223","1864_United_States_presidential_election:New_Jersey",2020 Nov,47
"224","1864_United_States_presidential_election:New_Jersey",2020 Dec,18
"225","1864_United_States_presidential_election:New_Jersey",2021 Jan,17
"226","1864_United_States_presidential_election:New_Jersey",2021 Feb,17
"227","1864_United_States_presidential_election:New_Jersey",2021 Mar,13
"228","1864_United_States_presidential_election:New_Jersey",2021 Apr,12
"229","1864_United_States_presidential_election:New_Jersey",2021 May,17
"230","1864_United_States_presidential_election:New_Jersey",2021 Jun,12
"231","1864_United_States_presidential_election:New_Jersey",2021 Jul,36
"232","1864_United_States_presidential_election:New_Jersey",2021 Aug,25
"233","1864_United_States_presidential_election:New_Jersey",2021 Sep,12
"234","1864_United_States_presidential_election:New_Jersey",2021 Oct,22
"235","1864_United_States_presidential_election:New_Jersey",2021 Nov,27
"236","1864_United_States_presidential_election:New_Jersey",2021 Dec,0
"237","1864_United_States_presidential_election:New_Jersey",2022 Jan,0
"238","1864_United_States_presidential_election:New_Jersey",2022 Feb,15
"239","1864_United_States_presidential_election:New_Jersey",2022 Mar,20
"240","1864_United_States_presidential_election:New_Jersey",2022 Apr,19
"241","1864_United_States_presidential_election:New_Jersey",2022 May,21
"242","1864_United_States_presidential_election:New_Jersey",2022 Jun,0
"243","1864_United_States_presidential_election:New_Jersey",2022 Jul,17
"244","1864_United_States_presidential_election:New_Jersey",2022 Aug,12
"245","1864_United_States_presidential_election:New_Jersey",2022 Sep,10
"246","1864_United_States_presidential_election:New_Jersey",2022 Oct,14
"247","1864_United_States_presidential_election:New_Jersey",2022 Nov,10
"248","1864_United_States_presidential_election:New_Jersey",2022 Dec,11
"249","1908:1908_United_States_presidential_election",2017 Nov,0
"250","1908:1908_United_States_presidential_election",2017 Dec,0
"251","1908:1908_United_States_presidential_election",2018 Jan,0
"252","1908:1908_United_States_presidential_election",2018 Feb,0
"253","1908:1908_United_States_presidential_election",2018 Mar,0
"254","1908:1908_United_States_presidential_election",2018 Apr,0
"255","1908:1908_United_States_presidential_election",2018 May,0
"256","1908:1908_United_States_presidential_election",2018 Jun,0
"257","1908:1908_United_States_presidential_election",2018 Jul,0
"258","1908:1908_United_States_presidential_election",2018 Aug,0
"259","1908:1908_United_States_presidential_election",2018 Sep,0
"260","1908:1908_United_States_presidential_election",2018 Oct,0
"261","1908:1908_United_States_presidential_election",2018 Nov,0
"262","1908:1908_United_States_presidential_election",2018 Dec,19
"263","1908:1908_United_States_presidential_election",2019 Jan,10
"264","1908:1908_United_States_presidential_election",2019 Feb,11
"265","1908:1908_United_States_presidential_election",2019 Mar,0
"266","1908:1908_United_States_presidential_election",2019 Apr,16
"267","1908:1908_United_States_presidential_election",2019 May,0
"268","1908:1908_United_States_presidential_election",2019 Jun,0
"269","1908:1908_United_States_presidential_election",2019 Jul,0
"270","1908:1908_United_States_presidential_election",2019 Aug,12
"271","1908:1908_United_States_presidential_election",2019 Sep,0
"272","1908:1908_United_States_presidential_election",2019 Oct,0
"273","1908:1908_United_States_presidential_election",2019 Nov,17
"274","1908:1908_United_States_presidential_election",2019 Dec,0
"275","1908:1908_United_States_presidential_election",2020 Jan,17
"276","1908:1908_United_States_presidential_election",2020 Feb,15
"277","1908:1908_United_States_presidential_election",2020 Mar,0
"278","1908:1908_United_States_presidential_election",2020 Apr,13
"279","1908:1908_United_States_presidential_election",2020 May,12
"280","1908:1908_United_States_presidential_election",2020 Jun,22
