"","prev","curr","type","freq","id"
"1","other","Marcopolo_S.A.","external","2105","other:Marcopolo_S.A."
"2","Lidl","Kommanditgesellschaft","link","105","Lidl:Kommanditgesellschaft"
"3","CSR_(group)","Extended_play","link","19","CSR_(group):Extended_play"
"4","other","John_Howard","external","159","other:John_Howard"
"5","Royal_Rumble_(2016)","Big_Show","link","35","Royal_Rumble_(2016):Big_Show"
"6","One-Punch_Man_(season_2)","Anime","link","81","One-Punch_Man_(season_2):Anime"
"7","Amreli_district","Gujarat","link","24","Amreli_district:Gujarat"
"8","other","Ivica_Marić","external","20","other:Ivica_Marić"
"9","Sarthe","La_Flèche","link","12","Sarthe:La_Flèche"
"10","John_Oliver","The_Smurfs_(film)","link","107","John_Oliver:The_Smurfs_(film)"
"11","Ana_Brnabić","Zorana_Mihajlović","link","117","Ana_Brnabić:Zorana_Mihajlović"
"12","Svarga","Gandharva","link","84","Svarga:Gandharva"
"13","other","Us_Against_the_World_(Christina_Milian_song)","external","30","other:Us_Against_the_World_(Christina_Milian_song)"
"14","List_of_Star_Wars_films","Star_Wars:_The_Clone_Wars_(2008_TV_series)","link","192","List_of_Star_Wars_films:Star_Wars:_The_Clone_Wars_(2008_TV_series)"
"15","other","Intermolecular_metal-catalyzed_carbenoid_cyclopropanations","external","29","other:Intermolecular_metal-catalyzed_carbenoid_cyclopropanations"
"16","BMW_V12_LMR","BMW_M70","link","97","BMW_V12_LMR:BMW_M70"
"17","Black_horse","Smoky_black","link","30","Black_horse:Smoky_black"
"18","other","Timeline_of_the_Song_dynasty","external","65","other:Timeline_of_the_Song_dynasty"
"19","Cornwall_Capital","The_Big_Short","link","192","Cornwall_Capital:The_Big_Short"
"20","Urban_search_and_rescue","Technical_rescue","link","11","Urban_search_and_rescue:Technical_rescue"
"21","other","Redemption_(1943_film)","external","10","other:Redemption_(1943_film)"
"22","other","Quantum_of_Solace_(disambiguation)","external","26","other:Quantum_of_Solace_(disambiguation)"
"23","Bleach_(season_5)","List_of_Bleach_episodes","link","47","Bleach_(season_5):List_of_Bleach_episodes"
"24","other","National_Sheep_Association","external","14","other:National_Sheep_Association"
"25","Port_of_Naples","Port","link","13","Port_of_Naples:Port"
"26","List_of_compositions_by_Richard_Strauss","Don_Juan_(Strauss)","link","11","List_of_compositions_by_Richard_Strauss:Don_Juan_(Strauss)"
"27","Turkish_lira","Revaluation_of_the_Turkish_lira","link","209","Turkish_lira:Revaluation_of_the_Turkish_lira"
"28","Arizona","Folk_etymology","link","51","Arizona:Folk_etymology"
"29","Supergirl_(season_6)","Jesse_Rath","link","83","Supergirl_(season_6):Jesse_Rath"
"30","other","I_Put_a_Spell_on_You_(album)","external","72","other:I_Put_a_Spell_on_You_(album)"
"31","List_of_boat_builders","Feadship","link","13","List_of_boat_builders:Feadship"
"32","other","Obrad_Gluščević","external","27","other:Obrad_Gluščević"
"33","Wayne_Krantz","Long_to_Be_Loose","link","35","Wayne_Krantz:Long_to_Be_Loose"
"34","1985_Sikkim_Legislative_Assembly_election","1979_Sikkim_Legislative_Assembly_election","link","132","1985_Sikkim_Legislative_Assembly_election:1979_Sikkim_Legislative_Assembly_election"
"35","other","Eric_Hanushek","external","85","other:Eric_Hanushek"
"36","other","Savolax","external","10","other:Savolax"
"37","RAF_Cottesmore","Army_2020_Refine","link","33","RAF_Cottesmore:Army_2020_Refine"
"38","Graveyard_slot","BBC_Learning_Zone","link","12","Graveyard_slot:BBC_Learning_Zone"
"39","List_of_goalscoring_goalkeepers","Manga_(footballer)","link","24","List_of_goalscoring_goalkeepers:Manga_(footballer)"
"40","Alishbah_Anjum","Jannat_Mirza","link","41","Alishbah_Anjum:Jannat_Mirza"
"41","Hellenic_Air_Force","PZL_P.24","link","12","Hellenic_Air_Force:PZL_P.24"
"42","List_of_Drake_&_Josh_episodes","Jesse_Burch","link","17","List_of_Drake_&_Josh_episodes:Jesse_Burch"
"43","Fourth_Anglo-Mysore_War","Maratha_Empire","link","57","Fourth_Anglo-Mysore_War:Maratha_Empire"
"44","Boeing_Defense,_Space_&_Security","GQM-163_Coyote","link","73","Boeing_Defense,_Space_&_Security:GQM-163_Coyote"
"45","Spelling_pronunciation","Folk_etymology","link","11","Spelling_pronunciation:Folk_etymology"
"46","other","Jarod_Lucas","external","27","other:Jarod_Lucas"
"47","other","Ponniyin_Selvan:_I","external","12","other:Ponniyin_Selvan:_I"
"48","Verkligheten","Björn_Strid","link","13","Verkligheten:Björn_Strid"
"49","other","Hayden_James","external","607","other:Hayden_James"
"50","Backsword","Types_of_swords","link","239","Backsword:Types_of_swords"
"51","Culture_of_Hungary","Herend_Porcelain_Manufactory","link","10","Culture_of_Hungary:Herend_Porcelain_Manufactory"
"52","2017–present_Peruvian_political_crisis","Second_impeachment_and_removal_of_Martín_Vizcarra","link","357","2017–present_Peruvian_political_crisis:Second_impeachment_and_removal_of_Martín_Vizcarra"
"53","Naples","Italian_language","link","89","Naples:Italian_language"
"54","List_of_popes","March–April_1605_papal_conclave","link","14","List_of_popes:March–April_1605_papal_conclave"
"55","Doric_Hexapolis","Knidos","link","26","Doric_Hexapolis:Knidos"
"56","RANS_Nusantara_F.C.","Makan_Konaté","link","347","RANS_Nusantara_F.C.:Makan_Konaté"
"57","Malawi_Railways","Rail_transport_in_Malawi","link","28","Malawi_Railways:Rail_transport_in_Malawi"
"58","Warsaw_Shore","Floribama_Shore","link","20","Warsaw_Shore:Floribama_Shore"
